id;player;time;empty_cells;round
12;MCTS_2000;0,403205;17;13
12;H_ALFA_BETA_3;0,012815;16;14
12;MCTS_2000;0,513536;15;14
12;H_ALFA_BETA_3;0,008104;14;15
12;MCTS_2000;0,174512;13;15
12;H_ALFA_BETA_3;0,00439;12;16
13;H_ALFA_BETA_3;0,031574;42;1
13;MCTS_2000;1,966655;41;1
13;H_ALFA_BETA_3;0,02611;40;2
13;MCTS_2000;1,998282;39;2
13;H_ALFA_BETA_3;0,033424;38;3
13;MCTS_2000;1,751471;37;3
13;H_ALFA_BETA_3;0,041382;36;4
13;MCTS_2000;1,684432;35;4
13;H_ALFA_BETA_3;0,025348;34;5
13;MCTS_2000;1,669156;33;5
13;H_ALFA_BETA_3;0,029128;32;6
13;MCTS_2000;1,533276;31;6
13;H_ALFA_BETA_3;0,04546;30;7
13;MCTS_2000;1,039772;29;7
13;H_ALFA_BETA_3;0,041064;28;8
13;MCTS_2000;0,729494;27;8
13;H_ALFA_BETA_3;0,012224;26;9
13;MCTS_2000;0,381743;25;9
14;H_ALFA_BETA_3;0,068933;42;1
14;MCTS_2000;2,19251;41;1
14;H_ALFA_BETA_3;0,028448;40;2
14;MCTS_2000;1,789841;39;2
14;H_ALFA_BETA_3;0,032235;38;3
14;MCTS_2000;1,706711;37;3
14;H_ALFA_BETA_3;0,038093;36;4
14;MCTS_2000;1,650236;35;4
14;H_ALFA_BETA_3;0,024512;34;5
14;MCTS_2000;1,53164;33;5
14;H_ALFA_BETA_3;0,023251;32;6
14;MCTS_2000;1,594863;31;6
14;H_ALFA_BETA_3;0,029564;30;7
14;MCTS_2000;1,504242;29;7
14;H_ALFA_BETA_3;0,026398;28;8
14;MCTS_2000;1,281192;27;8
14;H_ALFA_BETA_3;0,025237;26;9
14;MCTS_2000;1,041662;25;9
14;H_ALFA_BETA_3;0,008411;24;10
14;MCTS_2000;0,92429;23;10
14;H_ALFA_BETA_3;0,014015;22;11
14;MCTS_2000;0,618779;21;11
14;H_ALFA_BETA_3;0,010979;20;12
14;MCTS_2000;0,488791;19;12
14;H_ALFA_BETA_3;0,009222;18;13
14;MCTS_2000;0,42972;17;13
14;H_ALFA_BETA_3;0,006216;16;14
14;MCTS_2000;0,243303;15;14
14;H_ALFA_BETA_3;0,003843;14;15
14;MCTS_2000;0,176466;13;15
14;H_ALFA_BETA_3;0,003159;12;16
14;MCTS_2000;0,270628;11;16
14;H_ALFA_BETA_3;0,003238;10;17
14;MCTS_2000;0,106987;9;17
14;H_ALFA_BETA_3;0,000864;8;18
15;H_ALFA_BETA_3;0,032923;42;1
15;MCTS_2000;2,024148;41;1
15;H_ALFA_BETA_3;0,027296;40;2
15;MCTS_2000;1,816767;39;2
15;H_ALFA_BETA_3;0,033722;38;3
15;MCTS_2000;1,9261;37;3
15;H_ALFA_BETA_3;0,040079;36;4
15;MCTS_2000;1,76557;35;4
15;H_ALFA_BETA_3;0,029825;34;5
15;MCTS_2000;1,694152;33;5
15;H_ALFA_BETA_3;0,027641;32;6
15;MCTS_2000;1,682147;31;6
15;H_ALFA_BETA_3;0,029448;30;7
15;MCTS_2000;1,72399;29;7
15;H_ALFA_BETA_3;0,028201;28;8
15;MCTS_2000;1,367323;27;8
15;H_ALFA_BETA_3;0,020296;26;9
15;MCTS_2000;1,107315;25;9
15;H_ALFA_BETA_3;0,005866;24;10
15;MCTS_2000;1,253963;23;10
15;H_ALFA_BETA_3;0,013321;22;11
15;MCTS_2000;1,075394;21;11
15;H_ALFA_BETA_3;0,007474;20;12
15;MCTS_2000;0,697579;19;12
15;H_ALFA_BETA_3;0,007861;18;13
15;MCTS_2000;0,300668;17;13
15;H_ALFA_BETA_3;0,004742;16;14
15;MCTS_2000;0,243872;15;14
15;H_ALFA_BETA_3;0,005038;14;15
15;MCTS_2000;0,213673;13;15
15;H_ALFA_BETA_3;0,004526;12;16
15;MCTS_2000;0,233325;11;16
15;H_ALFA_BETA_3;0,008609;10;17
15;MCTS_2000;0,167088;9;17
15;H_ALFA_BETA_3;0,003302;8;18
15;MCTS_2000;0,079441;7;18
15;H_ALFA_BETA_3;0,001039;6;19
15;MCTS_2000;0,08023;5;19
15;H_ALFA_BETA_3;0,000254;4;20
16;MCTS_2000;1,991771;42;1
16;H_ALFA_BETA_3;0,027792;41;1
16;MCTS_2000;1,882839;40;2
16;H_ALFA_BETA_3;0,030494;39;2
